time (sec),x (pixels),y (pixels)
17.32200,164.080,33.043
17.39900,240.050,20.255
17.46500,359.669,10.839
17.52900,488.097,14.465
17.60600,586.230,26.679
17.67000,622.420,32.074
17.73500,602.170,27.946
17.79900,514.990,15.844
17.87900,389.318,10.109
17.94200,263.330,17.694
18.00800,180.020,30.319
18.08700,160.120,33.894
18.15200,193.610,27.426
18.21700,294.447,14.333
18.28000,420.819,10.705
18.36200,537.150,19.628
18.43400,608.010,29.681
18.49900,615.730,30.622
18.56700,564.570,22.166
18.63200,456.817,11.296
18.69700,330.416,12.031
18.76300,220.510,23.628
18.83900,167.570,32.448
18.90900,171.630,31.414
18.97400,235.870,20.868
19.04700,353.210,10.920
19.11400,477.704,13.651
19.18100,574.790,24.704
19.25400,612.740,30.091
19.32100,596.330,26.972
19.38300,515.620,16.006
19.44700,396.346,9.942
19.52600,277.500,16.549
19.59100,190.860,28.407
19.65500,168.250,32.360
19.73400,201.850,26.248
19.79800,291.381,14.948
19.86900,412.606,10.598
19.93200,526.540,18.007
20.00500,597.530,27.704
20.07100,607.300,29.048
20.13400,561.450,21.335
20.21400,460.334,11.564
20.27900,338.272,11.777
20.34200,235.360,21.824
20.40600,176.970,30.535
20.48600,178.190,29.975
20.55000,242.300,19.890
20.62100,349.098,11.169
20.69400,469.086,13.171
20.75900,563.950,22.812
20.82200,604.130,28.390
20.88700,590.520,25.848
20.96600,515.500,15.613
21.03700,402.252,9.958
21.10400,283.800,15.839
21.17600,201.420,26.389
21.24000,178.360,30.312
21.30300,203.050,25.719
21.38300,291.484,14.744
21.44800,407.181,10.604
21.51100,517.270,16.886
21.57500,588.100,26.173
21.65500,599.730,27.318
21.71900,558.400,21.026
21.78200,462.524,11.728
21.86300,345.347,11.454
21.92900,240.760,20.677
21.99200,186.310,28.565
22.05600,186.090,28.558
22.13500,240.170,19.935
22.19900,346.020,11.225
22.26300,461.832,12.421
22.34200,555.150,21.293
22.40600,595.830,26.905
22.47000,584.800,24.862
22.53500,514.340,15.527
22.61500,405.459,10.009
22.68000,294.280,14.908
22.74300,210.180,24.818
22.82200,184.670,29.044
22.88700,211.310,24.682
22.95100,289.890,15.046
23.01400,401.809,10.496
23.09400,509.660,15.927
23.15900,579.990,24.826
23.22300,593.360,26.144
23.30300,555.020,20.453
23.36700,463.313,11.782
23.43100,349.441,11.375
23.49600,250.930,19.358
23.57300,197.960,27.188
23.63800,196.760,27.177
23.70300,245.880,19.615
23.78300,343.368,11.292
23.84900,455.752,12.012
23.92300,547.280,20.331
23.99800,589.170,25.755
24.06600,579.540,23.958
24.13400,513.350,15.521
24.26500,299.551,14.348
24.33500,221.330,23.838
24.39700,196.810,26.909
24.47000,216.280,23.618
24.53600,291.332,14.768
24.59800,398.456,10.093
24.66200,503.190,15.377
24.74200,572.380,23.603
24.80700,586.480,24.798
24.87100,551.020,19.710
24.95400,463.303,11.861
25.01900,353.747,11.231
25.08200,257.910,18.487
25.14300,205.660,25.956
25.22300,203.020,25.805
25.28700,249.640,18.993
25.35100,342.495,11.235
25.43000,451.422,11.798
25.49500,540.320,19.306
25.56000,582.340,24.701
25.62500,573.920,23.030
25.70300,510.970,15.248
25.76800,409.976,10.165
25.83100,304.571,13.863
25.91000,228.420,22.530
25.97600,203.720,25.708
26.04000,221.950,22.833
26.10800,293.059,14.576
26.18300,396.227,10.191
26.24600,498.020,14.827
26.31000,565.600,22.497
26.39000,580.220,23.883
26.45500,547.000,19.186
26.51800,462.968,11.868
26.59800,356.895,11.006
26.66300,264.000,17.825
26.72800,211.880,24.595
26.79300,209.440,24.736
26.87000,253.430,18.620
26.93500,343.000,11.133
27.00000,448.128,11.669
27.07800,534.480,18.518
27.14300,576.070,23.583
27.20700,568.740,22.189
27.27100,508.300,15.035
27.35100,411.022,9.949
27.41500,309.020,13.568
27.48000,234.110,21.485
27.55900,209.450,24.618
27.62400,226.930,21.997
27.68800,294.993,14.247
27.75200,395.004,10.102
27.83100,493.350,14.202
27.89600,559.490,21.481
27.96000,574.310,23.003
28.03900,542.370,18.519
28.10300,461.689,11.671
28.16700,359.087,10.812
28.23200,268.580,17.005
28.31100,218.180,23.558
28.37700,215.350,23.862
28.44400,257.330,18.144
28.52000,343.305,11.159
28.58700,445.137,11.459
28.65500,529.440,17.948
28.73200,570.250,22.477
28.79700,563.300,21.229
28.86200,505.200,14.678
28.92700,411.019,9.902
29.00300,312.352,13.367
29.06800,240.040,20.723
29.13500,216.210,23.838
29.20600,232.150,21.328
29.27100,298.163,13.980
29.33400,394.461,10.154
29.39900,489.624,13.761
29.47900,554.280,20.838
29.54600,568.800,22.023
29.61000,538.110,17.968
29.68600,459.891,11.562
29.75100,360.756,10.627
29.81500,272.900,16.678
29.88100,223.920,22.683
29.95800,220.570,22.703
30.03100,261.500,17.617
30.09500,344.652,10.958
30.16700,443.267,11.303
30.23200,525.310,17.205
30.29600,565.020,21.703
30.36200,558.310,20.684
30.43800,501.920,14.170
30.50200,410.596,9.904
30.56600,315.035,13.084
30.64600,244.530,20.012
30.71000,221.060,22.713
30.77600,237.150,20.650
30.84000,300.611,13.790
30.91800,394.126,10.140
30.98400,486.748,13.718
31.05900,549.560,20.079
31.12600,563.510,21.190
31.19000,533.840,17.339
31.25500,458.006,11.355
31.33400,361.698,10.690
31.40000,276.750,16.416
31.46400,228.830,21.813
31.52900,225.500,21.900
31.60600,265.640,17.054
31.67100,346.422,10.961
31.73700,442.146,11.370
31.81400,521.660,16.823
31.88000,559.950,20.979
31.94500,553.470,20.017
32.01200,498.570,13.923
32.08700,409.865,9.903
32.15100,316.864,12.848
32.21400,248.790,19.452
32.29400,226.350,22.083
32.35800,241.520,19.913
32.42400,303.828,13.498
32.48700,394.652,9.939
32.56600,484.446,13.445
32.63200,545.260,19.413
32.69600,558.900,20.502
32.77400,529.560,16.901
32.84000,455.671,11.195
32.90200,361.960,10.704
32.96600,279.640,15.968
33.04700,233.380,21.097
33.11200,230.360,21.212
33.17800,269.560,16.736
33.25500,348.307,10.968
33.32100,441.295,11.096
33.38400,518.400,16.320
33.46200,555.460,20.225
33.52800,548.800,19.275
33.59300,494.850,13.642
33.65900,408.523,9.895
33.73500,318.438,12.801
33.80100,252.330,18.934
