time,price,quantity,xTime
 3:30:00 PM,451.25,100,735519.6458
 3:30:00 PM,451.2,392,735519.6458
 3:30:00 PM,451.21,100,735519.6458
 3:30:00 PM,451.11,100,735519.6458
 3:30:00 PM,451.12,100,735519.6458
 3:30:00 PM,450.74,100,735519.6458
 3:30:00 PM,450.92,100,735519.6458
 3:30:00 PM,450.27,100,735519.6458
 3:30:00 PM,450.81,100,735519.6458
 3:30:00 PM,451.04,6234,735519.6458
 3:30:00 PM,451,100,735519.6458
 3:30:00 PM,451.02,100,735519.6458
 3:30:00 PM,450.8,100,735519.6458
 3:30:00 PM,451.04,100,735519.6458
 3:30:00 PM,451.08,100,735519.6458
 3:30:00 PM,451.02,100,735519.6458
 3:30:00 PM,451.44,100,735519.6459
 3:30:00 PM,451.38,300,735519.6459
 3:30:00 PM,451.72,100,735519.6459
 3:30:00 PM,451.71,100,735519.6459
 3:30:00 PM,451.72,100,735519.6459
 3:30:00 PM,451.86,100,735519.6459
 3:30:00 PM,451.27,100,735519.6459
 3:30:00 PM,451.21,100,735519.6459
 3:30:00 PM,451.15,100,735519.6459
 3:30:00 PM,451.13,100,735519.646
 3:30:00 PM,451.36,100,735519.6461
 3:30:00 PM,451.29,100,735519.6461
 3:30:00 PM,451.33,100,735519.6461
 3:30:00 PM,451.57,100,735519.6462
 3:30:00 PM,451.61,100,735519.6462
 3:30:00 PM,451.92,100,735519.6462
 3:30:00 PM,451.88,100,735519.6463
 3:30:00 PM,451.28,100,735519.6464
 3:30:00 PM,451.9531,100,735519.6465
 3:31:00 PM,451.58,100,735519.6467
 3:31:00 PM,451.61,100,735519.6467
 3:31:00 PM,451.61,316,735519.6467
 3:31:00 PM,451.43,100,735519.6468
 3:31:00 PM,451.44,100,735519.6468
 3:31:00 PM,451.4,100,735519.6468
 3:31:00 PM,451.34,100,735519.6468
 3:31:00 PM,451.44,200,735519.6468
 3:31:00 PM,451.43,100,735519.6468
 3:31:00 PM,451.44,100,735519.6468
 3:31:00 PM,451.27,100,735519.6468
 3:31:00 PM,451.44,100,735519.6468
 3:31:00 PM,451.28,400,735519.6468
 3:31:00 PM,451.44,100,735519.6468
 3:31:00 PM,451.61,400,735519.6468
 3:31:00 PM,451.27,100,735519.6468
 3:31:00 PM,451.304,100,735519.6468
 3:31:00 PM,451.44,100,735519.6468
 3:31:00 PM,451.27,100,735519.6468
 3:31:00 PM,451.2875,100,735519.6468
 3:31:00 PM,451.44,100,735519.6468
 3:31:00 PM,451.28,100,735519.6468
 3:31:00 PM,451.27,100,735519.6468
 3:31:00 PM,451.295,100,735519.6468
 3:31:00 PM,451.27,100,735519.6468
 3:31:00 PM,451.4363,1000,735519.6468
 3:31:00 PM,451.32,350,735519.6468
 3:31:00 PM,451.27,150,735519.6469
 3:31:00 PM,451.25,990,735519.6469
 3:31:00 PM,451.43,400,735519.6469
 3:31:00 PM,451.36,300,735519.6469
 3:31:00 PM,451.11,100,735519.6469
 3:31:00 PM,451.02,100,735519.6469
 3:31:00 PM,451.15,200,735519.6469
 3:31:00 PM,451.11,100,735519.6469
 3:31:00 PM,451.01,196,735519.6469
 3:31:00 PM,451.24,100,735519.6469
 3:31:00 PM,451.185,100,735519.6469
 3:31:00 PM,450.885,100,735519.6469
 3:31:00 PM,451.185,100,735519.6469
 3:31:00 PM,451.25,100,735519.6469
 3:31:00 PM,451.185,100,735519.6469
 3:31:00 PM,451.05,100,735519.6469
 3:31:00 PM,451.135,100,735519.6469
 3:31:00 PM,450.82,100,735519.647
 3:31:00 PM,451.135,100,735519.647
 3:31:00 PM,450.73,100,735519.647
 3:31:00 PM,451.1,100,735519.647
 3:31:00 PM,450.73,230,735519.6471
 3:31:00 PM,450.84,100,735519.6471
 3:31:00 PM,450.74,100,735519.6471
 3:31:00 PM,450.73,100,735519.6471
 3:31:00 PM,451.1,100,735519.6471
