time	price	quantity	board	source	buyer	seller	initiator
20141013T153244	450.84	100		Auto trade			
20141013T153249	451.035	100		Auto trade			
20141013T153249	451.1275	100		Auto trade			
20141013T153249	451.185	200		Auto trade			
20141013T153249	450.9105	500		Auto trade			
20141013T153252	451.2199	100		Auto trade			
20141013T153252	451.04	100		Auto trade			
20141013T153254	451.22	100		Auto trade			
20141013T153254	451.04	100		Auto trade			
20141013T153256	451.05	100		Auto trade			
20141013T153256	451.175	100		Auto trade			
20141013T153256	451.05	100		Auto trade			
20141013T153256	451.18	200		Auto trade			
20141013T153256	451.175	100		Auto trade			
20141013T153256	451.19	100		Auto trade			
20141013T153256	451.05	100		Auto trade			
20141013T153257	450.96	100		Auto trade			
20141013T153257	450.91	400		Auto trade			
20141013T153258	451.065	100		Auto trade			
20141013T153259	451.05	100		Auto trade			
20141013T153300	451.16	280		Auto trade			
20141013T153300	451.065	100		Auto trade			
20141013T153301	451.065	100		Auto trade			
20141013T153301	451.08	200		Auto trade			
20141013T153301	451.065	100		Auto trade			
20141013T153302	450.92	100		Auto trade			
20141013T153303	451.19	500		Auto trade			
20141013T153304	451.065	100		Auto trade			
20141013T153306	451.07	100		Auto trade			
20141013T153306	451.08	200		Auto trade			
20141013T153306	451.07	100		Auto trade			
20141013T153307	451.155	100		Auto trade			
20141013T153307	451.21	100		Auto trade			
20141013T153307	451.2	100		Auto trade			
20141013T153307	451.21	100		Auto trade			
20141013T153307	451.17	200		Auto trade			
20141013T153307	451.155	100		Auto trade			
20141013T153307	451.21	100		Auto trade			
20141013T153307	451.22	100		Auto trade			
20141013T153307	451.26	100		Auto trade			
20141013T153308	451.26	100		Auto trade			
20141013T153308	451.27	100		Auto trade			
20141013T153308	451.32	100		Auto trade			
20141013T153308	451.3	100		Auto trade			
20141013T153308	451.32	100		Auto trade			
20141013T153308	451.3	100		Auto trade			
20141013T153310	451.37	100		Auto trade			
20141013T153310	451.52	100		Auto trade			
20141013T153310	451.36	100		Auto trade			
20141013T153310	451.44	100		Auto trade			
20141013T153310	451.52	100		Auto trade			
20141013T153311	451.41	100		Auto trade			
20141013T153312	451.52	100		Auto trade			
20141013T153312	451.57	100		Auto trade			
20141013T153313	451.3611	1000		Auto trade			
20141013T153313	451.57	100		Auto trade			
20141013T153314	451.61	226		Auto trade			
20141013T153315	451.62	100		Auto trade			
20141013T153315	451.66	100		Auto trade			
20141013T153315	451.62	100		Auto trade			
20141013T153316	451.9	100		Auto trade			
20141013T153320	451.96	100		Auto trade			
20141013T153320	451.97	100		Auto trade			
20141013T153320	452.01	100		Auto trade			
20141013T153320	452.03	100		Auto trade			
20141013T153320	452.38	100		Auto trade			
20141013T153320	451.66	100		Auto trade			
20141013T153320	452.025	160		Auto trade			
20141013T153325	452.33	100		Auto trade			
20141013T153325	452.11	100		Auto trade			
20141013T153327	452.11	900		Auto trade			
20141013T153330	452.42	100		Auto trade			
20141013T153330	452.43	100		Auto trade			
20141013T153330	452.46	100		Auto trade			
20141013T153330	452.435	100		Auto trade			
20141013T153330	452.115	100		Auto trade			
20141013T153330	452.13	100		Auto trade			
20141013T153330	452.411	3000		Auto trade			
20141013T153335	452.29	100		Auto trade			
20141013T153335	452.42	100		Auto trade			
20141013T153335	452.15	100		Auto trade			
20141013T153335	452.14	100		Auto trade			
20141013T153336	452.14	100		Auto trade			
20141013T153336	452.13	100		Auto trade			
20141013T153336	452.09	100		Auto trade			
20141013T153336	451.96	100		Auto trade			
20141013T153336	452.	100		Auto trade			
20141013T153336	451.95	100		Auto trade			
20141013T153342	451.83	100		Auto trade			
20141013T153342	452.155	100		Auto trade			
20141013T153342	452.17	100		Auto trade			
20141013T153342	452.43	100		Auto trade			
20141013T153344	452.24	100		Auto trade			
20141013T153344	452.435	100		Auto trade			
20141013T153344	452.24	100		Auto trade			
20141013T153344	452.44	100		Auto trade			
20141013T153348	452.01	100		Auto trade			
20141013T153349	452.47	100		Auto trade			
20141013T153350	452.13	100		Auto trade			
20141013T153352	452.3897	250		Auto trade			
20141013T153355	452.02	100		Auto trade			
20141013T153355	452.31	100		Auto trade			
20141013T153357	452.25	160		Auto trade			
20141013T153357	452.19	100		Auto trade			
20141013T153358	452.4701	175		Auto trade			
20141013T153358	452.465	116		Auto trade			
20141013T153358	452.02	100		Auto trade			
20141013T153401	452.08	200		Auto trade			
20141013T153401	452.0401	200		Auto trade			
20141013T153403	452.04	100		Auto trade			
20141013T153406	452.06	100		Auto trade			
20141013T153407	452.102	500		Auto trade			
20141013T153413	452.06	100		Auto trade			
20141013T153413	452.05	100		Auto trade			
20141013T153413	452.07	100		Auto trade			
20141013T153413	452.	100		Auto trade			
20141013T153413	452.06	100		Auto trade			
20141013T153413	452.	100		Auto trade			
